ped. #,time (s),x (cm),y (cm)
2,15.382187,353.301,-61.2578
2,15.415554,357.918,-62.2837
2,15.448921,362.876,-61.5998
2,15.482288,368.006,-61.5998
2,15.515655,373.819,-62.1127
2,15.549022,377.239,-61.2578
2,15.582389,382.368,-61.2578
2,15.615756,387.498,-61.2578
2,15.649123,392.627,-61.2578
2,15.68249,396.047,-60.4029
2,15.715857,400.749,-59.9755
2,15.749224,405.451,-60.4029
2,15.782591,409.726,-60.4029
2,15.815958,414.855,-60.4029
2,15.849325,419.985,-60.4029
2,15.882692,424.325,-59.2192
2,15.916059,429.389,-60.4029
2,15.949426,434.518,-60.4029
2,15.982793,439.648,-60.4029
2,16.01616,444.094,-59.035
2,16.049527,453.327,-59.548
2,16.082894,456.036,-59.2455
2,16.116261,460.85,-60.0609
2,16.149628,465.295,-60.4029
2,16.182995,466.578,-60.8304
2,16.216362,473.845,-60.4029
2,16.249729,478.547,-59.9755
2,16.283096,483.591,-60.5739
2,16.316463,488.378,-60.4029
2,16.34983,493.08,-61.6853
2,16.383197,498.21,-61.6853
2,16.416564,503.767,-62.1127
2,16.449931,509.751,-62.9677
2,16.483298,514.795,-64.0791
2,16.516665,520.01,-62.9677
2,16.550032,525.311,-63.4806
2,16.583399,530.782,-63.6516
2,16.616766,535.399,-63.8226
2,16.650133,542.238,-63.8226
2,16.6835,547.295,-63.6885
2,16.716867,552.134,-63.6488
2,16.750234,556.949,-63.5402
2,16.783601,561.777,-63.3687
3,16.816968,-602.071,-71.3814
3,16.850335,-597.227,-71.1689
3,16.883702,-592.4,-71.0441
3,16.917069,-587.618,-70.9812
3,16.950436,-582.61,-71.0336
3,16.983803,-577.533,-71.0039
3,17.01717,-571.72,-72.3718
3,17.050537,-566.641,-72.1706
3,17.083904,-561.461,-74.0816
3,17.117271,-556.331,-74.0816
3,17.150638,-551.202,-74.0816
3,17.184005,-546.072,-74.0816
3,17.217372,-542.719,-72.7006
3,17.250739,-537.951,-72.7992
3,17.284106,-532.394,-74.0816
3,17.317473,-529.402,-72.7992
3,17.35084,-523.503,-71.3459
3,17.384207,-517.86,-71.5168
3,17.417574,-514.372,-70.1832
3,17.450941,-508.969,-69.636
3,17.484308,-503.327,-69.807
3,17.517675,-498.197,-69.807
3,17.551042,-494.35,-67.6697
3,17.584409,-487.938,-68.0972
3,17.617776,-485.373,-67.2423
3,17.651143,-483.06,-66.2365
3,17.68451,-474.687,-64.25
3,17.717877,-470.412,-63.3951
3,17.751244,-465.368,-62.7967
3,17.784611,-460.581,-62.9677
3,17.817978,-457.161,-62.1127
3,17.851345,-452.202,-60.9159
3,17.884712,-448.612,-60.4029
3,17.918079,-443.68,-60.5344
3,17.951446,-438.353,-61.2578
3,17.984813,-433.223,-61.2578
3,18.01818,-430.231,-60.8304
3,18.051547,-424.674,-61.2578
3,18.084914,-420.136,-60.7975
3,18.118281,-414.415,-62.9677
3,18.151648,-410.141,-62.9677
3,18.185015,-406.721,-62.9677
3,18.218382,-401.249,-62.7967
3,18.251749,-395.607,-64.6775
3,18.285116,-392.253,-64.1514
3,18.318483,-387.058,-65.5324
3,18.35185,-383.704,-64.1514
3,18.385217,-379.89,-64.7433
3,18.418584,-375.431,-64.8485
3,18.451951,-371.648,-64.4898
3,18.485318,-367.132,-64.2172
3,18.518685,-362.944,-64.4009
3,18.552052,-358.845,-64.6775
3,18.585419,-352.861,-64.6775
3,18.618786,-349.441,-64.6775
3,18.652153,-344.996,-63.3096
3,18.68552,-341.063,-63.4806
3,18.718887,-336.105,-63.1387
3,18.752254,-332.343,-63.8226
3,18.785621,-327.384,-62.6257
3,18.818988,-322.426,-62.2837
3,18.852355,-318.664,-62.1127
3,18.885722,-313.877,-61.4288
3,18.919089,-308.747,-61.4288
3,18.952456,-304.644,-61.0868
3,18.985823,-300.198,-61.4288
3,19.01919,-294.727,-62.1127
3,19.052557,-290.965,-61.0868
3,19.085924,-286.348,-61.5998
3,19.119291,-281.817,-61.5143
3,19.152658,-276.944,-61.5998
3,19.186025,-272.67,-61.7708
